	NNTYPE	KOD1	POW1	KAT1	ODL1	KOD2	POW2	KAT2	KOD3	KOD4	KAT4	KOD5	WYJSCIE
reiz1_a1130	TRAIN	14	3	172	51	16	-1	-1	16	16	-1	16	piesc
reiz1_a1131	TRAIN	14	4	169	53	16	-1	-1	16	16	-1	16	piesc
reiz1_a1132	TRAIN	14	17	175	48	16	-1	-1	16	16	-1	16	piesc
reiz1_a1133	TRAIN	14	6	175	50	16	-1	-1	16	16	-1	16	piesc
reiz1_a1134	TRAIN	14	13	174	49	16	-1	-1	16	16	-1	16	piesc
reiz1_a1135	TRAIN	14	16	174	50	16	-1	-1	16	16	-1	16	piesc
reiz1_a1136	TRAIN	14	7	171	53	16	-1	-1	16	16	-1	16	piesc
reiz1_a1137	TRAIN	16	-1	-1	-1	16	-1	-1	16	16	-1	16	piesc
reiz1_a1138	TRAIN	14	2	172	45	16	-1	-1	16	16	-1	16	piesc
reiz1_a1139	TRAIN	14	1	173	54	16	-1	-1	16	16	-1	16	piesc
reiz1_a1140	TRAIN	14	8	174	50	16	-1	-1	16	16	-1	16	piesc
reiz1_a1141	TRAIN	14	2	169	53	16	-1	-1	16	16	-1	16	piesc
reiz1_a1142	TRAIN	14	6	175	49	16	-1	-1	16	16	-1	16	piesc
reiz1_a1143	TRAIN	14	14	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1144	TRAIN	14	6	178	46	16	-1	-1	16	16	-1	16	piesc
reiz1_a1145	TRAIN	14	4	176	47	16	-1	-1	16	16	-1	16	piesc
reiz1_a1146	TRAIN	14	1	174	47	16	-1	-1	16	16	-1	16	piesc
reiz1_a1147	TRAIN	14	2	171	52	16	-1	-1	16	16	-1	16	piesc
reiz1_a1148	TRAIN	16	-1	-1	-1	16	-1	-1	16	16	-1	16	piesc
reiz1_a1149	TRAIN	16	-1	-1	-1	16	-1	-1	16	16	-1	16	piesc
reiz1_a1150	TRAIN	14	59	176	42	16	-1	-1	16	16	-1	16	piesc
reiz1_a1151	TRAIN	14	29	175	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1152	TRAIN	14	33	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1153	TRAIN	14	30	175	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1154	TRAIN	14	26	175	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1155	TRAIN	14	35	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1156	TRAIN	14	26	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1157	TRAIN	14	33	176	43	3	2	6	16	16	-1	16	piesc
reiz1_a1158	TRAIN	14	23	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1159	TRAIN	14	20	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1160	TRAIN	14	18	179	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1161	TRAIN	14	19	177	45	16	-1	-1	16	16	-1	16	piesc
reiz1_a1162	TRAIN	14	35	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1163	TRAIN	14	31	177	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1164	TRAIN	14	21	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1165	TRAIN	14	7	179	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1166	TRAIN	14	40	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1167	TRAIN	14	25	179	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1168	TRAIN	14	22	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1169	TRAIN	14	11	179	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1170	TRAIN	14	29	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1171	TRAIN	14	24	177	45	16	-1	-1	16	16	-1	16	piesc
reiz1_a1172	TRAIN	14	50	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1173	TRAIN	14	35	177	45	16	-1	-1	16	16	-1	16	piesc
reiz1_a1174	TRAIN	14	41	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1175	TRAIN	14	23	177	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1176	TRAIN	14	39	177	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1177	TRAIN	14	30	176	45	16	-1	-1	16	16	-1	16	piesc
reiz1_a1178	TRAIN	14	40	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1179	TRAIN	14	43	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1180	TRAIN	14	42	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1181	TRAIN	14	48	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1182	TRAIN	14	22	179	45	3	4	3	16	16	-1	16	piesc
reiz1_a1183	TRAIN	14	46	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1184	TRAIN	14	39	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1185	TRAIN	14	33	176	45	16	-1	-1	16	16	-1	16	piesc
reiz1_a1186	TRAIN	14	54	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1187	TRAIN	14	37	177	42	16	-1	-1	16	16	-1	16	piesc
reiz1_a1188	TRAIN	14	33	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1189	TRAIN	14	23	176	44	3	4	93	16	16	-1	16	piesc
reiz1_a1190	TRAIN	14	33	176	42	3	1	2	16	16	-1	16	piesc
reiz1_a1191	TRAIN	14	38	177	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1192	TRAIN	14	4	179	42	3	2	3	16	16	-1	16	piesc
reiz1_a1193	TRAIN	14	22	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1194	TRAIN	14	20	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1195	TRAIN	14	26	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1196	TRAIN	14	21	176	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1197	TRAIN	14	41	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1198	TRAIN	14	3	175	54	16	-1	-1	16	16	-1	16	piesc
reiz1_a1199	TRAIN	14	39	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1200	TRAIN	14	26	177	42	16	-1	-1	16	16	-1	16	piesc
reiz1_a1201	TRAIN	14	31	177	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1202	TRAIN	14	7	179	44	3	3	0	16	16	-1	16	piesc
reiz1_a1203	TRAIN	14	7	173	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1204	TRAIN	14	36	175	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1205	TRAIN	14	19	177	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1206	TRAIN	14	21	175	44	16	-1	-1	16	16	-1	16	piesc
reiz1_a1207	TRAIN	14	26	177	41	16	-1	-1	16	16	-1	16	piesc
reiz1_a1208	TRAIN	14	26	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1209	TRAIN	14	39	176	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1210	TRAIN	14	19	174	41	16	-1	-1	16	16	-1	16	piesc
